cycle number	Ecell/V	Capacity/mA.h	
0.000000000000000E+000	2.7405384E+000	0.000000000000000E+000
0.000000000000000E+000	2.7406564E+000	0.000000000000000E+000
0.000000000000000E+000	2.7408533E+000	0.000000000000000E+000
0.000000000000000E+000	2.7411292E+000	0.000000000000000E+000
0.000000000000000E+000	2.7413261E+000	0.000000000000000E+000
0.000000000000000E+000	2.7413654E+000	0.000000000000000E+000
0.000000000000000E+000	2.7414050E+000	0.000000000000000E+000
0.000000000000000E+000	2.7415624E+000	0.000000000000000E+000
0.000000000000000E+000	2.7416019E+000	0.000000000000000E+000
0.000000000000000E+000	2.7415624E+000	0.000000000000000E+000
0.000000000000000E+000	2.7416413E+000	0.000000000000000E+000
0.000000000000000E+000	2.7416413E+000	0.000000000000000E+000
0.000000000000000E+000	2.7416806E+000	0.000000000000000E+000
0.000000000000000E+000	2.7416413E+000	0.000000000000000E+000
0.000000000000000E+000	2.7417200E+000	0.000000000000000E+000
0.000000000000000E+000	2.7414443E+000	0.000000000000000E+000
0.000000000000000E+000	2.7414050E+000	0.000000000000000E+000
0.000000000000000E+000	2.7415230E+000	0.000000000000000E+000
0.000000000000000E+000	2.7416019E+000	0.000000000000000E+000
0.000000000000000E+000	2.7417595E+000	0.000000000000000E+000
0.000000000000000E+000	2.7417989E+000	0.000000000000000E+000
0.000000000000000E+000	2.7418382E+000	0.000000000000000E+000
0.000000000000000E+000	2.7419958E+000	0.000000000000000E+000
0.000000000000000E+000	2.7421534E+000	0.000000000000000E+000
0.000000000000000E+000	2.7423110E+000	0.000000000000000E+000
0.000000000000000E+000	2.7423897E+000	0.000000000000000E+000
0.000000000000000E+000	2.7425866E+000	0.000000000000000E+000
0.000000000000000E+000	2.7427835E+000	0.000000000000000E+000
0.000000000000000E+000	2.7430594E+000	0.000000000000000E+000
0.000000000000000E+000	2.7430987E+000	0.000000000000000E+000
0.000000000000000E+000	2.7433746E+000	0.000000000000000E+000
0.000000000000000E+000	2.7435322E+000	0.000000000000000E+000
0.000000000000000E+000	2.7438471E+000	0.000000000000000E+000
0.000000000000000E+000	2.7440047E+000	0.000000000000000E+000
0.000000000000000E+000	2.7442017E+000	0.000000000000000E+000
0.000000000000000E+000	2.7443593E+000	0.000000000000000E+000
0.000000000000000E+000	2.7445958E+000	0.000000000000000E+000
0.000000000000000E+000	2.7447927E+000	0.000000000000000E+000
0.000000000000000E+000	2.7448714E+000	0.000000000000000E+000
0.000000000000000E+000	2.7449896E+000	0.000000000000000E+000
0.000000000000000E+000	2.7451079E+000	0.000000000000000E+000
0.000000000000000E+000	2.7451472E+000	0.000000000000000E+000
0.000000000000000E+000	2.7452652E+000	0.000000000000000E+000
0.000000000000000E+000	2.7453442E+000	0.000000000000000E+000
0.000000000000000E+000	2.7454228E+000	0.000000000000000E+000
0.000000000000000E+000	2.7455411E+000	0.000000000000000E+000
0.000000000000000E+000	2.7456198E+000	0.000000000000000E+000
0.000000000000000E+000	2.7455411E+000	0.000000000000000E+000
0.000000000000000E+000	2.7456198E+000	0.000000000000000E+000
0.000000000000000E+000	2.7458169E+000	0.000000000000000E+000
0.000000000000000E+000	2.7458956E+000	0.000000000000000E+000
0.000000000000000E+000	2.7460139E+000	0.000000000000000E+000
0.000000000000000E+000	2.7462895E+000	0.000000000000000E+000
0.000000000000000E+000	2.7464077E+000	0.000000000000000E+000
0.000000000000000E+000	2.7464471E+000	0.000000000000000E+000
0.000000000000000E+000	2.7465653E+000	0.000000000000000E+000
0.000000000000000E+000	2.7468016E+000	0.000000000000000E+000
0.000000000000000E+000	2.7469985E+000	0.000000000000000E+000
0.000000000000000E+000	2.7471168E+000	0.000000000000000E+000
0.000000000000000E+000	2.7471955E+000	0.000000000000000E+000
0.000000000000000E+000	2.7472744E+000	0.000000000000000E+000
0.000000000000000E+000	2.7474320E+000	0.000000000000000E+000
0.000000000000000E+000	2.7475896E+000	0.000000000000000E+000
0.000000000000000E+000	2.7477076E+000	0.000000000000000E+000
0.000000000000000E+000	2.7478259E+000	0.000000000000000E+000
0.000000000000000E+000	2.7477865E+000	0.000000000000000E+000
0.000000000000000E+000	2.7478652E+000	0.000000000000000E+000
0.000000000000000E+000	2.7477865E+000	0.000000000000000E+000
0.000000000000000E+000	2.7476683E+000	0.000000000000000E+000
0.000000000000000E+000	2.7475896E+000	0.000000000000000E+000
0.000000000000000E+000	2.7475500E+000	0.000000000000000E+000
0.000000000000000E+000	2.7474320E+000	0.000000000000000E+000
0.000000000000000E+000	2.7474713E+000	0.000000000000000E+000
0.000000000000000E+000	2.7474713E+000	0.000000000000000E+000
0.000000000000000E+000	2.7474713E+000	0.000000000000000E+000
0.000000000000000E+000	2.7474713E+000	0.000000000000000E+000
0.000000000000000E+000	2.7475500E+000	0.000000000000000E+000
0.000000000000000E+000	2.7475896E+000	0.000000000000000E+000
0.000000000000000E+000	2.7478652E+000	0.000000000000000E+000
0.000000000000000E+000	2.7478652E+000	0.000000000000000E+000
0.000000000000000E+000	2.7480228E+000	0.000000000000000E+000
0.000000000000000E+000	2.7481017E+000	0.000000000000000E+000
0.000000000000000E+000	2.7484167E+000	0.000000000000000E+000
0.000000000000000E+000	2.7484956E+000	0.000000000000000E+000
0.000000000000000E+000	2.7485743E+000	0.000000000000000E+000
0.000000000000000E+000	2.7487319E+000	0.000000000000000E+000
0.000000000000000E+000	2.7489288E+000	0.000000000000000E+000
0.000000000000000E+000	2.7489681E+000	0.000000000000000E+000
0.000000000000000E+000	2.7491257E+000	0.000000000000000E+000
0.000000000000000E+000	2.7493622E+000	0.000000000000000E+000
0.000000000000000E+000	2.7494409E+000	0.000000000000000E+000
0.000000000000000E+000	2.7495985E+000	0.000000000000000E+000
0.000000000000000E+000	2.7497168E+000	0.000000000000000E+000
0.000000000000000E+000	2.7498348E+000	0.000000000000000E+000
0.000000000000000E+000	2.7499530E+000	0.000000000000000E+000
0.000000000000000E+000	2.7501106E+000	0.000000000000000E+000
0.000000000000000E+000	2.7503076E+000	0.000000000000000E+000
0.000000000000000E+000	2.7504258E+000	0.000000000000000E+000
0.000000000000000E+000	2.7506621E+000	0.000000000000000E+000
0.000000000000000E+000	2.7507803E+000	0.000000000000000E+000
0.000000000000000E+000	2.7509773E+000	0.000000000000000E+000
0.000000000000000E+000	2.7511349E+000	0.000000000000000E+000
0.000000000000000E+000	2.7513318E+000	0.000000000000000E+000
0.000000000000000E+000	2.7514894E+000	0.000000000000000E+000
0.000000000000000E+000	2.7517650E+000	0.000000000000000E+000
0.000000000000000E+000	2.7519619E+000	0.000000000000000E+000
0.000000000000000E+000	2.7522378E+000	0.000000000000000E+000
0.000000000000000E+000	2.7523561E+000	0.000000000000000E+000
0.000000000000000E+000	2.7526317E+000	0.000000000000000E+000
0.000000000000000E+000	2.7527893E+000	0.000000000000000E+000
0.000000000000000E+000	2.7530651E+000	0.000000000000000E+000
0.000000000000000E+000	2.7532620E+000	0.000000000000000E+000
0.000000000000000E+000	2.7534983E+000	0.000000000000000E+000
0.000000000000000E+000	2.7536559E+000	0.000000000000000E+000
0.000000000000000E+000	2.7538528E+000	0.000000000000000E+000
0.000000000000000E+000	2.7541287E+000	0.000000000000000E+000
0.000000000000000E+000	2.7541680E+000	0.000000000000000E+000
0.000000000000000E+000	2.7544043E+000	0.000000000000000E+000
0.000000000000000E+000	2.7545619E+000	0.000000000000000E+000
0.000000000000000E+000	2.7547195E+000	0.000000000000000E+000
0.000000000000000E+000	2.7548378E+000	0.000000000000000E+000
0.000000000000000E+000	2.7549953E+000	0.000000000000000E+000
0.000000000000000E+000	2.7551527E+000	0.000000000000000E+000
0.000000000000000E+000	2.7552710E+000	0.000000000000000E+000
0.000000000000000E+000	2.7553892E+000	0.000000000000000E+000
0.000000000000000E+000	2.7555072E+000	0.000000000000000E+000
0.000000000000000E+000	2.7555861E+000	0.000000000000000E+000
0.000000000000000E+000	2.7557831E+000	0.000000000000000E+000
0.000000000000000E+000	2.7559013E+000	0.000000000000000E+000
0.000000000000000E+000	2.7560589E+000	0.000000000000000E+000
0.000000000000000E+000	2.7560589E+000	0.000000000000000E+000
0.000000000000000E+000	2.7562952E+000	0.000000000000000E+000
0.000000000000000E+000	2.7563739E+000	0.000000000000000E+000
0.000000000000000E+000	2.7565708E+000	0.000000000000000E+000
0.000000000000000E+000	2.7566104E+000	0.000000000000000E+000
0.000000000000000E+000	2.7567284E+000	0.000000000000000E+000
0.000000000000000E+000	2.7568467E+000	0.000000000000000E+000
0.000000000000000E+000	2.7570043E+000	0.000000000000000E+000
0.000000000000000E+000	2.7570043E+000	0.000000000000000E+000
0.000000000000000E+000	2.7570436E+000	0.000000000000000E+000
0.000000000000000E+000	2.7571225E+000	0.000000000000000E+000
0.000000000000000E+000	2.7570829E+000	0.000000000000000E+000
0.000000000000000E+000	2.7572405E+000	0.000000000000000E+000
0.000000000000000E+000	2.7572801E+000	0.000000000000000E+000
0.000000000000000E+000	2.7573588E+000	0.000000000000000E+000
0.000000000000000E+000	2.7573588E+000	0.000000000000000E+000
0.000000000000000E+000	2.7575164E+000	0.000000000000000E+000
0.000000000000000E+000	2.7573981E+000	0.000000000000000E+000
0.000000000000000E+000	2.7574770E+000	0.000000000000000E+000
0.000000000000000E+000	2.7575164E+000	0.000000000000000E+000
0.000000000000000E+000	2.7576346E+000	0.000000000000000E+000
0.000000000000000E+000	2.7575164E+000	0.000000000000000E+000
0.000000000000000E+000	2.7575951E+000	0.000000000000000E+000
0.000000000000000E+000	2.7576346E+000	0.000000000000000E+000
0.000000000000000E+000	2.7577527E+000	0.000000000000000E+000
0.000000000000000E+000	2.7577920E+000	0.000000000000000E+000
0.000000000000000E+000	2.7578316E+000	0.000000000000000E+000
0.000000000000000E+000	2.7578709E+000	0.000000000000000E+000
0.000000000000000E+000	2.7578316E+000	0.000000000000000E+000
0.000000000000000E+000	2.7579496E+000	0.000000000000000E+000
0.000000000000000E+000	2.7579892E+000	0.000000000000000E+000
0.000000000000000E+000	2.7579892E+000	0.000000000000000E+000
0.000000000000000E+000	2.7580678E+000	0.000000000000000E+000
0.000000000000000E+000	2.7582648E+000	0.000000000000000E+000
0.000000000000000E+000	2.7582648E+000	0.000000000000000E+000
0.000000000000000E+000	2.7583830E+000	0.000000000000000E+000
0.000000000000000E+000	2.7584224E+000	0.000000000000000E+000
0.000000000000000E+000	2.7585800E+000	0.000000000000000E+000
