ox/red	time/s	Ecell/V	I/mA	
0	0.000000000000000E+000	2.6380825E+000	0.0000000E+000
0	6.000000284984708E+001	2.6393425E+000	0.0000000E+000
0	1.200000056996942E+002	2.6408389E+000	0.0000000E+000
0	1.800000085495412E+002	2.6423748E+000	0.0000000E+000
0	2.400000113993883E+002	2.6441860E+000	0.0000000E+000
0	3.000000142492354E+002	2.6460762E+000	0.0000000E+000
0	3.600000170990825E+002	2.6478088E+000	0.0000000E+000
0	4.200000199489295E+002	2.6496990E+000	0.0000000E+000
0	4.800000227987766E+002	2.6513922E+000	0.0000000E+000
0	5.400000256486237E+002	2.6530461E+000	0.0000000E+000
0	6.000000284984708E+002	2.6547787E+000	0.0000000E+000
0	6.600000313483179E+002	2.6565506E+000	0.0000000E+000
0	7.200000341981649E+002	2.6581652E+000	0.0000000E+000
0	7.800000370480120E+002	2.6597402E+000	0.0000000E+000
0	8.400000398978591E+002	2.6612759E+000	0.0000000E+000
0	9.000000427477062E+002	2.6628118E+000	0.0000000E+000
0	9.600000455975533E+002	2.6641505E+000	0.0000000E+000
0	1.020000048447400E+003	2.6656468E+000	0.0000000E+000
0	1.080000051297247E+003	2.6671433E+000	0.0000000E+000
0	1.140000054147094E+003	2.6684034E+000	0.0000000E+000
0	1.200000056996942E+003	2.6697421E+000	0.0000000E+000
0	1.260000059846789E+003	2.6710021E+000	0.0000000E+000
0	1.320000062696636E+003	2.6723018E+000	0.0000000E+000
0	1.380000065546483E+003	2.6734436E+000	0.0000000E+000
0	1.440000068396330E+003	2.6747038E+000	0.0000000E+000
0	1.500000071246177E+003	2.6758456E+000	0.0000000E+000
0	1.560000074096024E+003	2.6769876E+000	0.0000000E+000
0	1.620000076945871E+003	2.6781297E+000	0.0000000E+000
0	1.680000079795718E+003	2.6791928E+000	0.0000000E+000
0	1.740000082645565E+003	2.6802559E+000	0.0000000E+000
0	1.800000085495412E+003	2.6812799E+000	0.0000000E+000
0	1.860000088345259E+003	2.6823430E+000	0.0000000E+000
0	1.920000091195107E+003	2.6832094E+000	0.0000000E+000
0	1.980000094044954E+003	2.6841543E+000	0.0000000E+000
0	2.040000096894801E+003	2.6850600E+000	0.0000000E+000
0	2.100000099744648E+003	2.6860051E+000	0.0000000E+000
0	2.160000102594495E+003	2.6869109E+000	0.0000000E+000
0	2.220000105444342E+003	2.6877770E+000	0.0000000E+000
0	2.280000108294189E+003	2.6886435E+000	0.0000000E+000
0	2.340000111144036E+003	2.6894703E+000	0.0000000E+000
0	2.400000113993883E+003	2.6902184E+000	0.0000000E+000
0	2.460000116843730E+003	2.6910062E+000	0.0000000E+000
0	2.520000119693577E+003	2.6918330E+000	0.0000000E+000
0	2.580000122543424E+003	2.6925812E+000	0.0000000E+000
0	2.640000125393271E+003	2.6932507E+000	0.0000000E+000
0	2.700000128243119E+003	2.6939988E+000	0.0000000E+000
0	2.760000131092966E+003	2.6947863E+000	0.0000000E+000
0	2.820000133942813E+003	2.6953375E+000	0.0000000E+000
0	2.880000136792660E+003	2.6959677E+000	0.0000000E+000
0	2.940000139642507E+003	2.6967552E+000	0.0000000E+000
0	3.000000142492354E+003	2.6974247E+000	0.0000000E+000
0	3.060000145342201E+003	2.6980941E+000	0.0000000E+000
0	3.120000148192048E+003	2.6987240E+000	0.0000000E+000
0	3.180000151041895E+003	2.6991966E+000	0.0000000E+000
0	3.240000153891742E+003	2.6998661E+000	0.0000000E+000
0	3.300000156741589E+003	2.7006142E+000	0.0000000E+000
0	3.360000159591436E+003	2.7011654E+000	0.0000000E+000
0	3.420000162441283E+003	2.7017956E+000	0.0000000E+000
0	3.480000165291131E+003	2.7023075E+000	0.0000000E+000
0	3.540000168140978E+003	2.7029376E+000	0.0000000E+000
0	3.600000170990825E+003	2.7034101E+000	0.0000000E+000
0	3.660000173840672E+003	2.7040007E+000	0.0000000E+000
0	3.720000176690519E+003	2.7045519E+000	0.0000000E+000
0	3.780000179540366E+003	2.7051427E+000	0.0000000E+000
0	3.840000182390213E+003	2.7054970E+000	0.0000000E+000
0	3.900000185240060E+003	2.7061272E+000	0.0000000E+000
0	3.960000188089907E+003	2.7065604E+000	0.0000000E+000
0	4.020000190939754E+003	2.7070327E+000	0.0000000E+000
0	4.080000193789601E+003	2.7075841E+000	0.0000000E+000
0	4.140000196639448E+003	2.7080173E+000	0.0000000E+000
0	4.200000199489295E+003	2.7085686E+000	0.0000000E+000
0	4.260000202339143E+003	2.7090411E+000	0.0000000E+000
0	4.320000205188990E+003	2.7094741E+000	0.0000000E+000
0	4.380000208038837E+003	2.7100649E+000	0.0000000E+000
0	4.440000210888684E+003	2.7105374E+000	0.0000000E+000
0	4.500000213738531E+003	2.7108917E+000	0.0000000E+000
0	4.560000216588378E+003	2.7113643E+000	0.0000000E+000
0	4.620000219438225E+003	2.7118762E+000	0.0000000E+000
0	4.680000222288072E+003	2.7121518E+000	0.0000000E+000
0	4.740000225137919E+003	2.7127032E+000	0.0000000E+000
0	4.800000227987766E+003	2.7131364E+000	0.0000000E+000
0	4.860000230837613E+003	2.7135694E+000	0.0000000E+000
0	4.920000233687460E+003	2.7140026E+000	0.0000000E+000
0	4.980000236537308E+003	2.7143571E+000	0.0000000E+000
0	5.040000239387155E+003	2.7148294E+000	0.0000000E+000
0	5.100000242237002E+003	2.7151446E+000	0.0000000E+000
0	5.160000245086849E+003	2.7156172E+000	0.0000000E+000
0	5.220000247936696E+003	2.7160108E+000	0.0000000E+000
0	5.280000250786543E+003	2.7163653E+000	0.0000000E+000
0	5.340000253636390E+003	2.7168772E+000	0.0000000E+000
0	5.400000256486237E+003	2.7171528E+000	0.0000000E+000
0	5.460000259336084E+003	2.7175860E+000	0.0000000E+000
0	5.520000262185931E+003	2.7179797E+000	0.0000000E+000
