ox/red	time/s	Ecell/V	I/mA	
1	5.340000253636390E+003	2.6569355E+000	0.0000000E+000
1	5.400000256486237E+003	2.6572111E+000	0.0000000E+000
1	5.460000259336084E+003	2.6572900E+000	0.0000000E+000
1	5.520000262185931E+003	2.6576049E+000	0.0000000E+000
1	5.580000265035778E+003	2.6577625E+000	0.0000000E+000
1	5.640000267885625E+003	2.6580775E+000	0.0000000E+000
1	5.700000270735472E+003	2.6582351E+000	0.0000000E+000
1	5.760000273585320E+003	2.6585107E+000	0.0000000E+000
1	5.820000276435167E+003	2.6588652E+000	0.0000000E+000
1	5.880000279285014E+003	2.6589832E+000	0.0000000E+000
1	5.940000282134861E+003	2.6592195E+000	0.0000000E+000
1	6.000000284984708E+003	2.6593378E+000	0.0000000E+000
1	6.060000287834555E+003	2.6596527E+000	0.0000000E+000
1	6.120000290684402E+003	2.6597710E+000	0.0000000E+000
1	6.180000293534249E+003	2.6601253E+000	0.0000000E+000
1	6.240000296384096E+003	2.6603615E+000	0.0000000E+000
1	6.300000299233943E+003	2.6605585E+000	0.0000000E+000
1	6.360000302083790E+003	2.6607947E+000	0.0000000E+000
1	6.420000304933637E+003	2.6609917E+000	0.0000000E+000
1	6.480000307783484E+003	2.6611886E+000	0.0000000E+000
1	6.540000310633332E+003	2.6614249E+000	0.0000000E+000
1	6.600000313483179E+003	2.6616218E+000	0.0000000E+000
1	6.660000316333026E+003	2.6618187E+000	0.0000000E+000
1	6.720000319182873E+003	2.6620157E+000	0.0000000E+000
1	6.780000322032720E+003	2.6620944E+000	0.0000000E+000
1	6.840000324882567E+003	2.6623700E+000	0.0000000E+000
1	6.900000327732414E+003	2.6625669E+000	0.0000000E+000
1	6.960000330582261E+003	2.6626062E+000	0.0000000E+000
1	7.020000333432108E+003	2.6628425E+000	0.0000000E+000
1	7.080000336281955E+003	2.6630788E+000	0.0000000E+000
1	7.140000339131802E+003	2.6631577E+000	0.0000000E+000
1	7.200000341981649E+003	2.6633151E+000	0.0000000E+000
1	7.260000344831496E+003	2.6634727E+000	0.0000000E+000
1	7.320000347681344E+003	2.6636302E+000	0.0000000E+000
1	7.380000350531191E+003	2.6638272E+000	0.0000000E+000
1	7.440000353381038E+003	2.6639452E+000	0.0000000E+000
1	7.500000356230885E+003	2.6641421E+000	0.0000000E+000
1	7.560000359080732E+003	2.6643391E+000	0.0000000E+000
1	7.620000361930579E+003	2.6644964E+000	0.0000000E+000
1	7.680000364780426E+003	2.6646934E+000	0.0000000E+000
1	7.740000367630273E+003	2.6648510E+000	0.0000000E+000
1	7.800000370480120E+003	2.6649296E+000	0.0000000E+000
1	7.860000373329967E+003	2.6651266E+000	0.0000000E+000
1	7.920000376179814E+003	2.6652055E+000	0.0000000E+000
1	7.980000379029661E+003	2.6654022E+000	0.0000000E+000
1	8.040000381879509E+003	2.6655598E+000	0.0000000E+000
1	8.100000384729356E+003	2.6656780E+000	0.0000000E+000
1	8.160000387579203E+003	2.6659143E+000	0.0000000E+000
1	8.220000390429050E+003	2.6660323E+000	0.0000000E+000
1	8.280000393278897E+003	2.6661899E+000	0.0000000E+000
1	8.340000396128744E+003	2.6664262E+000	0.0000000E+000
1	8.400000398978591E+003	2.6666231E+000	0.0000000E+000
1	8.460000401828438E+003	2.6667411E+000	0.0000000E+000
1	8.520000404678285E+003	2.6669381E+000	0.0000000E+000
1	8.580000407528132E+003	2.6670957E+000	0.0000000E+000
1	8.640000410377979E+003	2.6672533E+000	0.0000000E+000
1	8.700000413227826E+003	2.6675682E+000	0.0000000E+000
1	8.760000416077673E+003	2.6677258E+000	0.0000000E+000
1	8.820000418927521E+003	2.6679227E+000	0.0000000E+000
1	8.880000421777368E+003	2.6681194E+000	0.0000000E+000
1	8.940000424627215E+003	2.6682770E+000	0.0000000E+000
1	9.000000427477062E+003	2.6685133E+000	0.0000000E+000
1	9.060000430326909E+003	2.6687102E+000	0.0000000E+000
1	9.120000433176756E+003	2.6689465E+000	0.0000000E+000
1	9.180000436026603E+003	2.6691828E+000	0.0000000E+000
1	9.240000438876450E+003	2.6693797E+000	0.0000000E+000
1	9.300000441726297E+003	2.6696553E+000	0.0000000E+000
1	9.360000444576144E+003	2.6698129E+000	0.0000000E+000
1	9.420000447425991E+003	2.6699705E+000	0.0000000E+000
1	9.480000450275838E+003	2.6702855E+000	0.0000000E+000
1	9.540000453125685E+003	2.6704824E+000	0.0000000E+000
1	9.600000455975533E+003	2.6706004E+000	0.0000000E+000
1	9.660000458825380E+003	2.6707973E+000	0.0000000E+000
1	9.720000461675227E+003	2.6711125E+000	0.0000000E+000
1	9.780000464525074E+003	2.6712699E+000	0.0000000E+000
1	9.840000467374921E+003	2.6713881E+000	0.0000000E+000
1	9.900000470224768E+003	2.6716638E+000	0.0000000E+000
1	9.960000473074615E+003	2.6718607E+000	0.0000000E+000
1	1.002000047592446E+004	2.6720970E+000	0.0000000E+000
1	1.008000047877431E+004	2.6723332E+000	0.0000000E+000
1	1.014000048162416E+004	2.6725695E+000	0.0000000E+000
1	1.020000048447400E+004	2.6728058E+000	0.0000000E+000
1	1.026000048732385E+004	2.6729240E+000	0.0000000E+000
1	1.032000049017370E+004	2.6731207E+000	0.0000000E+000
1	1.038000049302354E+004	2.6733966E+000	0.0000000E+000
1	1.044000049587339E+004	2.6735933E+000	0.0000000E+000
1	1.050000049872324E+004	2.6738691E+000	0.0000000E+000
1	1.056000050157309E+004	2.6739872E+000	0.0000000E+000
1	1.062000050442293E+004	2.6741841E+000	0.0000000E+000
1	1.068000050727278E+004	2.6743417E+000	0.0000000E+000
1	1.074000051012263E+004	2.6745780E+000	0.0000000E+000
1	1.080000051297247E+004	2.6747749E+000	0.0000000E+000
1	1.086000051582232E+004	2.6748536E+000	0.0000000E+000
1	1.092000051867217E+004	2.6750112E+000	0.0000000E+000
1	1.098000052152202E+004	2.6752081E+000	0.0000000E+000
1	1.104000052437186E+004	2.6752868E+000	0.0000000E+000
1	1.110000052722171E+004	2.6755624E+000	0.0000000E+000
1	1.116000053007156E+004	2.6756806E+000	0.0000000E+000
1	1.122000053292140E+004	2.6757593E+000	0.0000000E+000
1	1.128000053577125E+004	2.6758776E+000	0.0000000E+000
1	1.134000053862110E+004	2.6761532E+000	0.0000000E+000
1	1.140000054147094E+004	2.6762712E+000	0.0000000E+000
1	1.146000054432079E+004	2.6764681E+000	0.0000000E+000
1	1.152000054717064E+004	2.6766651E+000	0.0000000E+000
1	1.158000055002049E+004	2.6768620E+000	0.0000000E+000
1	1.164000055287033E+004	2.6770196E+000	0.0000000E+000
1	1.170000055572018E+004	2.6772559E+000	0.0000000E+000
1	1.176000055857003E+004	2.6774132E+000	0.0000000E+000
1	1.182000056141987E+004	2.6774921E+000	0.0000000E+000
1	1.188000056426972E+004	2.6776888E+000	0.0000000E+000
1	1.194000056711957E+004	2.6777678E+000	0.0000000E+000
1	1.200000056996942E+004	2.6780434E+000	0.0000000E+000
1	1.206000057281926E+004	2.6781616E+000	0.0000000E+000
1	1.212000057566911E+004	2.6783190E+000	0.0000000E+000
1	1.218000057851896E+004	2.6784372E+000	0.0000000E+000
1	1.224000058136880E+004	2.6786735E+000	0.0000000E+000
1	1.230000058421865E+004	2.6788311E+000	0.0000000E+000
1	1.236000058706850E+004	2.6789491E+000	0.0000000E+000
1	1.242000058991835E+004	2.6791067E+000	0.0000000E+000
1	1.248000059276819E+004	2.6793036E+000	0.0000000E+000
1	1.254000059561804E+004	2.6794610E+000	0.0000000E+000
1	1.260000059846789E+004	2.6796186E+000	0.0000000E+000
1	1.266000060131773E+004	2.6798549E+000	0.0000000E+000
1	1.272000060416758E+004	2.6800911E+000	0.0000000E+000
1	1.278000060701743E+004	2.6800911E+000	0.0000000E+000
1	1.284000060986727E+004	2.6802094E+000	0.0000000E+000
1	1.290000061271712E+004	2.6804457E+000	0.0000000E+000
1	1.296000061556697E+004	2.6805637E+000	0.0000000E+000
1	1.302000061841682E+004	2.6807213E+000	0.0000000E+000
1	1.308000062126666E+004	2.6809182E+000	0.0000000E+000
1	1.314000062411651E+004	2.6811152E+000	0.0000000E+000
1	1.320000062696636E+004	2.6811152E+000	0.0000000E+000
1	1.326000062981620E+004	2.6813514E+000	0.0000000E+000
1	1.332000063266605E+004	2.6814301E+000	0.0000000E+000
1	1.338000063551590E+004	2.6815877E+000	0.0000000E+000
1	1.344000063836575E+004	2.6816270E+000	0.0000000E+000
1	1.350000064121559E+004	2.6819026E+000	0.0000000E+000
1	1.356000064406544E+004	2.6819026E+000	0.0000000E+000
1	1.362000064691529E+004	2.6820602E+000	0.0000000E+000
1	1.368000064976513E+004	2.6822572E+000	0.0000000E+000
1	1.374000065261498E+004	2.6822965E+000	0.0000000E+000
1	1.380000065546483E+004	2.6824145E+000	0.0000000E+000
1	1.386000065831468E+004	2.6824934E+000	0.0000000E+000
1	1.392000066116452E+004	2.6827297E+000	0.0000000E+000
1	1.398000066401437E+004	2.6827691E+000	0.0000000E+000
1	1.404000066686422E+004	2.6828477E+000	0.0000000E+000
1	1.410000066971406E+004	2.6829660E+000	0.0000000E+000
1	1.416000067256391E+004	2.6832023E+000	0.0000000E+000
1	1.422000067541376E+004	2.6832809E+000	0.0000000E+000
1	1.428000067826360E+004	2.6833203E+000	0.0000000E+000
1	1.434000068111345E+004	2.6835172E+000	0.0000000E+000
1	1.440000068396330E+004	2.6835959E+000	0.0000000E+000
1	1.446000068681315E+004	2.6837142E+000	0.0000000E+000
1	1.452000068966299E+004	2.6837928E+000	0.0000000E+000
1	1.458000069251284E+004	2.6839111E+000	0.0000000E+000
1	1.464000069536269E+004	2.6840687E+000	0.0000000E+000
1	1.470000069821253E+004	2.6841080E+000	0.0000000E+000
1	1.476000070106238E+004	2.6841867E+000	0.0000000E+000
1	1.482000070391223E+004	2.6843050E+000	0.0000000E+000
1	1.488000070676208E+004	2.6844230E+000	0.0000000E+000
1	1.494000070961192E+004	2.6845806E+000	0.0000000E+000
1	1.500000071246177E+004	2.6845806E+000	0.0000000E+000
1	1.506000071531162E+004	2.6847775E+000	0.0000000E+000
1	1.512000071816146E+004	2.6848562E+000	0.0000000E+000
1	1.518000072101131E+004	2.6848955E+000	0.0000000E+000
1	1.524000072386116E+004	2.6850531E+000	0.0000000E+000
1	1.530000072671101E+004	2.6851711E+000	0.0000000E+000
1	1.536000072956085E+004	2.6852894E+000	0.0000000E+000
1	1.542000073241070E+004	2.6853287E+000	0.0000000E+000
1	1.548000073526055E+004	2.6852894E+000	0.0000000E+000
1	1.554000073811039E+004	2.6855257E+000	0.0000000E+000
1	1.560000074096024E+004	2.6855650E+000	0.0000000E+000
1	1.566000074381009E+004	2.6856043E+000	0.0000000E+000
1	1.572000074665993E+004	2.6857226E+000	0.0000000E+000
1	1.578000074950978E+004	2.6858013E+000	0.0000000E+000
1	1.584000075235963E+004	2.6859589E+000	0.0000000E+000
1	1.590000075520948E+004	2.6859195E+000	0.0000000E+000
1	1.596000075805932E+004	2.6860769E+000	0.0000000E+000
1	1.602000076090917E+004	2.6860769E+000	0.0000000E+000
1	1.608000076375902E+004	2.6861951E+000	0.0000000E+000
1	1.614000076660886E+004	2.6863132E+000	0.0000000E+000
1	1.620000076945871E+004	2.6864314E+000	0.0000000E+000
1	1.626000077230856E+004	2.6865890E+000	0.0000000E+000
1	1.632000077515841E+004	2.6865890E+000	0.0000000E+000
1	1.638000077800825E+004	2.6866283E+000	0.0000000E+000
1	1.644000078085810E+004	2.6867857E+000	0.0000000E+000
1	1.650000078370795E+004	2.6868646E+000	0.0000000E+000
1	1.656000078655779E+004	2.6869433E+000	0.0000000E+000
1	1.662000078940764E+004	2.6870615E+000	0.0000000E+000
1	1.668000079225749E+004	2.6870222E+000	0.0000000E+000
1	1.674000079510733E+004	2.6871402E+000	0.0000000E+000
1	1.680000079795718E+004	2.6872189E+000	0.0000000E+000
