cycle number	Ecell/V	Capacity/mA.h	
0.000000000000000E+000	2.8056664E+000	0.000000000000000E+000
0.000000000000000E+000	2.8049970E+000	0.000000000000000E+000
0.000000000000000E+000	2.8042879E+000	0.000000000000000E+000
0.000000000000000E+000	2.8036578E+000	0.000000000000000E+000
0.000000000000000E+000	2.8028305E+000	0.000000000000000E+000
0.000000000000000E+000	2.8021216E+000	0.000000000000000E+000
0.000000000000000E+000	2.8014126E+000	0.000000000000000E+000
0.000000000000000E+000	2.8007822E+000	0.000000000000000E+000
0.000000000000000E+000	2.8001127E+000	0.000000000000000E+000
0.000000000000000E+000	2.7994037E+000	0.000000000000000E+000
0.000000000000000E+000	2.7986553E+000	0.000000000000000E+000
0.000000000000000E+000	2.7980251E+000	0.000000000000000E+000
0.000000000000000E+000	2.7973950E+000	0.000000000000000E+000
0.000000000000000E+000	2.7968829E+000	0.000000000000000E+000
0.000000000000000E+000	2.7962921E+000	0.000000000000000E+000
0.000000000000000E+000	2.7957799E+000	0.000000000000000E+000
0.000000000000000E+000	2.7951105E+000	0.000000000000000E+000
0.000000000000000E+000	2.7946377E+000	0.000000000000000E+000
0.000000000000000E+000	2.7941258E+000	0.000000000000000E+000
0.000000000000000E+000	2.7935743E+000	0.000000000000000E+000
0.000000000000000E+000	2.7929440E+000	0.000000000000000E+000
0.000000000000000E+000	2.7925107E+000	0.000000000000000E+000
0.000000000000000E+000	2.7919986E+000	0.000000000000000E+000
0.000000000000000E+000	2.7913685E+000	0.000000000000000E+000
0.000000000000000E+000	2.7908959E+000	0.000000000000000E+000
0.000000000000000E+000	2.7904232E+000	0.000000000000000E+000
0.000000000000000E+000	2.7898324E+000	0.000000000000000E+000
0.000000000000000E+000	2.7893202E+000	0.000000000000000E+000
0.000000000000000E+000	2.7888477E+000	0.000000000000000E+000
0.000000000000000E+000	2.7883356E+000	0.000000000000000E+000
0.000000000000000E+000	2.7879024E+000	0.000000000000000E+000
0.000000000000000E+000	2.7875085E+000	0.000000000000000E+000
0.000000000000000E+000	2.7869964E+000	0.000000000000000E+000
0.000000000000000E+000	2.7865632E+000	0.000000000000000E+000
0.000000000000000E+000	2.7860510E+000	0.000000000000000E+000
0.000000000000000E+000	2.7855785E+000	0.000000000000000E+000
0.000000000000000E+000	2.7851450E+000	0.000000000000000E+000
0.000000000000000E+000	2.7847118E+000	0.000000000000000E+000
0.000000000000000E+000	2.7843180E+000	0.000000000000000E+000
0.000000000000000E+000	2.7838848E+000	0.000000000000000E+000
0.000000000000000E+000	2.7833726E+000	0.000000000000000E+000
0.000000000000000E+000	2.7829001E+000	0.000000000000000E+000
0.000000000000000E+000	2.7825456E+000	0.000000000000000E+000
0.000000000000000E+000	2.7820334E+000	0.000000000000000E+000
0.000000000000000E+000	2.7816396E+000	0.000000000000000E+000
0.000000000000000E+000	2.7812850E+000	0.000000000000000E+000
0.000000000000000E+000	2.7808912E+000	0.000000000000000E+000
0.000000000000000E+000	2.7805760E+000	0.000000000000000E+000
0.000000000000000E+000	2.7803791E+000	0.000000000000000E+000
0.000000000000000E+000	2.7800248E+000	0.000000000000000E+000
0.000000000000000E+000	2.7796702E+000	0.000000000000000E+000
0.000000000000000E+000	2.7794337E+000	0.000000000000000E+000
0.000000000000000E+000	2.7790399E+000	0.000000000000000E+000
0.000000000000000E+000	2.7788429E+000	0.000000000000000E+000
0.000000000000000E+000	2.7784491E+000	0.000000000000000E+000
0.000000000000000E+000	2.7780945E+000	0.000000000000000E+000
0.000000000000000E+000	2.7778583E+000	0.000000000000000E+000
0.000000000000000E+000	2.7775431E+000	0.000000000000000E+000
0.000000000000000E+000	2.7772675E+000	0.000000000000000E+000
0.000000000000000E+000	2.7769918E+000	0.000000000000000E+000
0.000000000000000E+000	2.7767949E+000	0.000000000000000E+000
0.000000000000000E+000	2.7762828E+000	0.000000000000000E+000
0.000000000000000E+000	2.7760465E+000	0.000000000000000E+000
0.000000000000000E+000	2.7757707E+000	0.000000000000000E+000
0.000000000000000E+000	2.7754951E+000	0.000000000000000E+000
0.000000000000000E+000	2.7751799E+000	0.000000000000000E+000
0.000000000000000E+000	2.7749829E+000	0.000000000000000E+000
0.000000000000000E+000	2.7746284E+000	0.000000000000000E+000
0.000000000000000E+000	2.7744315E+000	0.000000000000000E+000
0.000000000000000E+000	2.7741952E+000	0.000000000000000E+000
0.000000000000000E+000	2.7740769E+000	0.000000000000000E+000
0.000000000000000E+000	2.7737224E+000	0.000000000000000E+000
0.000000000000000E+000	2.7734468E+000	0.000000000000000E+000
0.000000000000000E+000	2.7732105E+000	0.000000000000000E+000
0.000000000000000E+000	2.7730136E+000	0.000000000000000E+000
0.000000000000000E+000	2.7726591E+000	0.000000000000000E+000
0.000000000000000E+000	2.7725015E+000	0.000000000000000E+000
0.000000000000000E+000	2.7723439E+000	0.000000000000000E+000
0.000000000000000E+000	2.7721076E+000	0.000000000000000E+000
0.000000000000000E+000	2.7718318E+000	0.000000000000000E+000
0.000000000000000E+000	2.7716744E+000	0.000000000000000E+000
0.000000000000000E+000	2.7713985E+000	0.000000000000000E+000
0.000000000000000E+000	2.7712016E+000	0.000000000000000E+000
0.000000000000000E+000	2.7709260E+000	0.000000000000000E+000
0.000000000000000E+000	2.7708867E+000	0.000000000000000E+000
0.000000000000000E+000	2.7707684E+000	0.000000000000000E+000
0.000000000000000E+000	2.7704926E+000	0.000000000000000E+000
0.000000000000000E+000	2.7703745E+000	0.000000000000000E+000
0.000000000000000E+000	2.7702563E+000	0.000000000000000E+000
0.000000000000000E+000	2.7700200E+000	0.000000000000000E+000
0.000000000000000E+000	2.7698231E+000	0.000000000000000E+000
0.000000000000000E+000	2.7697444E+000	0.000000000000000E+000
0.000000000000000E+000	2.7695079E+000	0.000000000000000E+000
0.000000000000000E+000	2.7692323E+000	0.000000000000000E+000
0.000000000000000E+000	2.7691140E+000	0.000000000000000E+000
0.000000000000000E+000	2.7689960E+000	0.000000000000000E+000
0.000000000000000E+000	2.7689564E+000	0.000000000000000E+000
0.000000000000000E+000	2.7687595E+000	0.000000000000000E+000
0.000000000000000E+000	2.7686021E+000	0.000000000000000E+000
0.000000000000000E+000	2.7685232E+000	0.000000000000000E+000
0.000000000000000E+000	2.7682869E+000	0.000000000000000E+000
0.000000000000000E+000	2.7682869E+000	0.000000000000000E+000
0.000000000000000E+000	2.7681293E+000	0.000000000000000E+000
0.000000000000000E+000	2.7680507E+000	0.000000000000000E+000
